Tag,Class,Description,Category,Keywords
Learning Analytics,Skill,Analyze learner patterns across groups to identify instructional strategies.,Learning Analytics,"Learner Analysis, InTASC"
Learning Development,Skill,Write measurable standards-based objectives for students.,Learning Development,"Learning Development, Educational Outcomes"
Learning Management Systems,Skill,Implement software-based processes to assess training and learning needs within an organization.,Learning Management Systems,"Taleo, Learning Management Systems, Learning management systems (LMS), Learning activity management systems (LAMS), eFront, aTutor, Open edX, EthosCE, eCollege"
Learning Strategies,Skill,Take notes to increase comprehension and knowledge recall.,Learning Strategies,"learning strategies, Transferrable Skills Across Occupations, Professional Development and Career Management"
Learning Styles,Skill,Write lesson plans to appeal to multiple learning styles.,Learning Styles,Learning Styles
Learning and Development,Skill,Create long-term organizational strategies to develop talent.,Learning and Development,"Training and Development, Training, Professional Development, Learning, Strategy, Education, Human Resources, HR, SHRM, People, development, Learning and Development, Learning & Development"
Legal Compliance,Skill,Analyze evidence or research about legal constraints.,Legal Compliance,"Professional Ethics, Doing, Ethical Codes, Legal Compliance"
Legal Knowledge,Skill,"Display understanding of all relevant laws, policies, and regulations within the industry.",Legal Knowledge,Legal Knowledge
Legislation,Skill,Identify key legislative members who impact the organization.,Legislation,Legislation
Lesson Planning,Skill,Use resources to address misconceptions in the content area.,Lesson Planning,"Lesson Planning, InTASC"
Library Catalog,Skill,Identify resources using the library catalog.,Library Catalog,Library Catalog
Life Support,Skill,Perform manual resuscitation with a flow inflating bag during cardiopulmonary resuscitation (CPR).,Life Support,"Life Support, CPR, Cardiopulmonary Resuscitation"
Lifelong Learning,Skill,Monitor new topics and trends in the field of instruction.,Lifelong Learning,"Lifelong Learning, instruction"
Lifting Ability,Skill,Work safely and efficiently when lifting objects of various shapes and sizes.,Lifting Ability,"Retail Sales Associate, Merchandise Processors, Lifting Ability"
Linux,Skill,Troubleshoot Linux system issues.,Linux,"Linux, Systems Engineer"
Listening Skills,Skill,Use listening skills to support others.,Listening Skills,"InTASC, Listening Skills"
Literacy,Skill,Write with proficiency.,Literacy,"Literacy, Foundational Literacies"
Literacy Instruction,Skill,Instruct learners in the writing process.,Literacy Instruction,Writing
Logistics,Skill,Use warehouse management software to track products.,Logistics,"Logistics, Retail Salesperson"
Logistics Management,Skill,Improve processes continually to optimize business operations.,Logistics Management,"Management, Logistics Management, Process Improvement, Optimization"
Long-Term Care,Skill,Assess whether a long-term ventilator patient can be weaned off the ventilator.,Long-Term Care,"Long-Term Care, ventilator"
Loss Prevention,Skill,Work in collaboration with security personnel to ensure the safety of customers and staff.,Loss Prevention,"Retail Sales Associate, Loss Prevention"
Machine Learning,Skill,Wrangle data relevant to the task being performed.,Machine Learning,"Machine Learning, Understanding Machine Learning, Microsoft Cognitive Services"
Malware Analysis,Skill,Isolate suspicious files.,Malware Analysis,"Malware Analysis, Malware Analysis Fundamentals"
Managed Care,Skill,"Communicate insurance regulations, reimbursement procedures, risk management, strategic planning, operations management, and health information technology.",Managed Care,"Communications, Risk, Operations, Risk Management, Management, Planning, Managed Care, Health Information Technology, Strategy, Operations Management, insurance, healthcare"
Management,Skill,Use strategies to increase sales and customer loyalty.,Management,"Management, Retail Sales Associate, Merchandise Processors"
Management Consulting,Skill,"Work on several projects, programs, and teams simultaneously to assist in identification of issues and solution implementation.",Management Consulting,Management Consulting
Management Development,Skill,Evaluate employee skills after participating in a management development program.,Management Development,"Training and Development, Management, Training, Management Development, Learning Management System (LMS) Software, Survey Software"
Management Information Reporting,Skill,"Develop management reporting compliance procedures required during audit procedures (e.g., Food and Drug Administration [FDA], International Organization for Standardization [ISO], or Clinical Laboratory Improvement Amendments [CLIA] audits, etc.) and for internal quality checks.",Management Information Reporting,"Management Information Reporting, Management Reporting"
Managerial Communications,Skill,Employ active listening techniques.,Managerial Communications,"Transferrable Skills for Leaders, Managerial Communications"
Managing Suppliers,Skill,Manage vendor productivity to ensure company quality standards and revenue goals are achieved.,Managing Suppliers,"Management, Managing Suppliers, SAP Fieldglass, Oracle EPM Cloud, Tradeshift Pay, TradeGecko, Gatekeeper, SAP Ariba, Beeline"
Market Analysis,Skill,"Prepare reports of findings, illustrating market data graphically and translating complex findings into written reports.",Market Analysis,"Analysis, Analytical Techniques, Marketing, Market Analysis"
Market Development,Skill,"Describe both strategic and tactical marketing goals in a specific, measurable, achievable, relevant, and time-bound (SMART) format.",Market Development,"Goal Oriented, Goal Setting, Marketing, goals, Advertising, Strategy, Strategic Marketing, Marketing Strategy, SMART, Market Development, Market Strategy, Market, Specific, Measurable, Achievable, Relevant, and Timely (SMART), Specific, Measurable, Achievable, Relevant, and Timely"
Market Profile,Skill,Create a digital marketing customer journey that outlines the steps for converting a prospect to a customer.,Market Profile,"Marketing, Digital Marketing, Market Profile, Journey Mapping, Market, Customer Journey"
Market Research,Skill,Collect industry statistics and trends in trade literature.,Market Research,"Research, Marketing, Market Research, Statistics, Market, Trade Literature"
Market Segmentation,Skill,Define target audiences for library program services.,Market Segmentation,"Marketing, Market Segmentation, Consumer Segmentation, Target Audience, library"
Market Trend,Skill,"Compare data from a search analysis website (i.e., Google Trends) over several years in several geographies and related queries to determine an appropriate marketing strategy for products or services.",Market Trend,"Analysis, Analytical Techniques, Data Analysis, Marketing, Strategic Marketing, Marketing Strategy, data, Market Trend, Market, Google Trends"
Marketing,Skill,Use digital marketing tools and platforms.,Marketing,"Marketing, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur"
Marketing Communications,Skill,Analyze data to measure return on investment for different marketing activities.,Marketing Communications,"Communications, Analysis, Analytical Techniques, Excel, Data Analysis, PowerPoint, Marketing, Microsoft Word, data, Marketing Communications, ROI, Return on Investment, Return on Investment (ROI)"
Marketing Management,Skill,Implement strategies to identify opportunities to reach new market segments and expand market share.,Marketing Management,"Management, Marketing, Strategy, Market Segmentation, Marketing Management, Market"
Marketing Materials,Skill,Research promotional items to use as marketing materials.,Marketing Materials,"Google, Marketing Materials, Bing, Yahoo"
Marketing Planning,Skill,Ensure market strategy alignment with other departments through frequent and specific communications.,Marketing Planning,"Communications, Planning, Marketing, Strategy, Strategic Marketing, Marketing Planning, Market Plan, Marketing Programs, Coordination"
Marketing Software,Skill,"Automate workflows in a marketing and sales platform (e.g., HubSpot) based on customer lists.",Marketing Software,"Marketing, Workflows, Evaluation, Sales, Key Performance Indicators (KPIs), Key Performance Indicators, KPIs, Automation, metrics, Marketing Software, Spredfast, Oracle Marketing Cloud, HubSpot.com"
Marketing Strategies,Skill,Manage marketing budgets and resources to ensure efficiency and effectiveness.,Marketing Strategies,"Influencer, Marketing Strategies"
Material Requirements Planning,Skill,Track the availability of materials and products throughout the supply chain of an organization.,Material Requirements Planning,"Material Requirements Planning, Supply Chain Management Software (SAP Supply Chain Planning, Oracle SCM Cloud, Epicor SCM)"
Mathematical Literacy,Skill,Reason quantitively and use units to solve problems.,Mathematical Literacy,"Basic Math, Foundational Literacies, Mathematical Literacy"
Mathematics,Skill,Solve basic geometric problems.,Mathematics,"GeneralEducation2019, Mathematics, 5364.1"
Mechanical Ventilation,Skill,Identify mechanical ventilator waveforms that indicate patient-asynchrony.,Mechanical Ventilation,"Mechanical Ventilation, patient-asynchrony"
Media Literacy,Skill,Use media to promote social and cultural understanding.,Media Literacy,"Foundational Literacies, Media Literacy"
Media Strategy,Skill,Measure the return on investment (ROI) of different media channels used in a media campaign.,Media Strategy,"Microsoft PowerPoint, Microsoft Excel, Marketing, Microsoft Word, Google Docs, Google Sheets, Strategy, Google Slides, ROI, Return on Investment, Return on Investment (ROI), Media Strategy, Media Campaign"
Mediation,Skill,Paraphrase back to the speaker what was said.,Mediation,Mediation
Medicaid/Medicare,Skill,Instruct a patient on Medicare and Medicaid healthcare plans.,Medicaid/Medicare,"patient education, Medicaid / Medicare"
Medical Billing And Coding,Skill,Submit appropriate documentation for proper billing of services.,Medical Billing And Coding,Medical Billing And Coding
Medical Emergency,Skill,Respond to immediate needs in a medical emergency.,Medical Emergency,Medical Emergency
Medical Equipment,Skill,Troubleshoot equipment for safe patient use.,Medical Equipment,Medical Equipment
Medical Ethics,Skill,Provide a patient with all respiratory treatment and procedure information for informed consent.,Medical Ethics,"Medical Ethics, Informed Consent"
Medical Office Procedures,Skill,Collect patient authorization to disclose medical records to another party.,Medical Office Procedures,Medical Office Procedures
Medical Records,Skill,Record patient findings in a health record.,Medical Records,"Medical Assistant, Medical Records"
Medical Terminology,Skill,Use appropriate medical terminology when adding information to a patient's medical record.,Medical Terminology,Medical Terminology
Medication Administration,Skill,Measure the precise dose of medication to be delivered per a physician's order.,Medication Administration,"medication, Medication Administration, dosage"
Mental Agility,Skill,Adjust to changing situations in educational activities to improve outcomes for students with exceptionalities.,Mental Agility,"Problem Solving, Mental Process, Troubleshooting (Problem Solving), Mental Agility, students with exceptionalities"
Mental Health,Skill,Educate others on the effects of mental health conditions affecting members of society.,Mental Health,"Mental Health, Healthy Learning Strategies"
Mental Status Examination,Skill,Conduct a structured assessment of a patient's behavioral and cognitive functioning.,Mental Status Examination,Mental Status Examination
Mentorship,Skill,Provide encouragement and support.,Mentorship,"Mentorship, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Interpersonal Communication"
Merchandise Displays,Skill,Organize merchandise displays to ensure easy access to products.,Merchandise Displays,"Retail Sales Associate, Merchandise Displays"
Merchandising,Skill,Integrate new products into displays.,Merchandising,Merchandising
Messaging Strategy,Skill,Tailor message positioning for various channels and formats.,Messaging Strategy,
Metacognition,Skill,Adjust learning strategies based on metacognitive reflections.,Metacognition,"Transferrable Skills Across Occupations, Professional Development and Career Management, Metacognition"
Microsoft Azure,Skill,Plan Azure solutions.,Microsoft Azure,"Microsoft Azure, Systems Engineer"
Microsoft Excel,Skill,Visualize data in Excel.,Microsoft Excel,"Microsoft Excel, Transferrable Skills Across Occupations"
Microsoft Office,Skill,Send and receive emails using Microsoft Outlook.,Microsoft Office,"Microsoft Office, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Change Manager"
Microsoft Outlook,Skill,Use Microsoft Outlook in conjunction with other Microsoft Office applications.,Microsoft Outlook,"Microsoft Outlook, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Change Manager"
Microsoft PowerPoint,Skill,Troubleshoot issues in Microsoft PowerPoint.,Microsoft PowerPoint,"Microsoft PowerPoint, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Change Manager"
Microsoft Teams,Skill,Use Microsoft Teams.,Microsoft Teams,"Microsoft Teams, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur"
Microsoft Windows,Skill,Utilize Windows security and authentication protocols.,Microsoft Windows,"Microsoft Windows, Systems Engineer"
Microsoft Word,Skill,Use Microsoft Word to create a professional resume.,Microsoft Word,"Microsoft Word, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Change Manager"
Mindfulness,Skill,Deal productively with stressors to avoid burnout and disengagement from their constituencies and profession.,Mindfulness,"Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self-Awareness, Mindfulness, Sensory Analysis"
Mindset,Skill,Solve complex challenges by incorporating a growth mindset.,Mindset,"Being, 21st Century Skills, SEL, GE Framework, Mindset, Self Evaluation, Problem Solving, Positive Mental Attitude, Mental Process, Power Skills Framework, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self-Awareness"
Mitigation,Skill,Devise methods to prevent risks.,Mitigation,Mitigation
Mobile Application Development,Skill,Select a server technology stack.,Mobile Application Development,server tech
Mobile Devices,Skill,Configure mobile device hardware and software.,Mobile Devices,Mobile Devices
Model Based Systems Engineering,Skill,Troubleshoot issues with existing model based systems engineering implementations.,Model Based Systems Engineering,"Systems Engineer, Model Based Systems Engineering"
Month-End Close Processes,Skill,Close temporary accounts at the end of each month.,Month-End Close Processes,Month-End Close Processes
Moral Reasoning,Skill,Maintain a moral and ethical compass.,Moral Reasoning,Moral Reasoning
Moral Sensitivity,Skill,Discern the key ethical features and dilemmas of situations and relationships.,Moral Sensitivity,"Character, 21st Century Skills, Moral Sensitivity"
Multimedia,Skill,Organize relevant stock media.,Multimedia,"Multimedia, stock media"
Multitasking,Skill,Use technology to help with multitasking.,Multitasking,"Multitasking, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Change Manager"
MySQL,Skill,"Perform read, update, and delete (CRUD) operations on data in tables.",MySQL,MySQL
Needs Analysis,Skill,Analyze the unmet needs of a prospective client.,Needs Analysis,"Analysis, Analytical Techniques, Needs Analysis"
Needs Assessment,Skill,Use data to justify the need for skills-based instruction.,Needs Assessment,Needs assessment
Negotiation,Skill,Write in a persuasive manner.,Negotiation,"Business Ethics, Professional Ethics, Doing, Negotiation, Persuasion"
Neonatal Intensive Care Unit,Skill,Perform manual resuscitation using T-piece resuscitator on a neonate.,Neonatal Intensive Care Unit,"resuscitation, respiratory therapist, mask, Neonatal Intensive Care Unit, T-Piece, Neopuff"
Neonatal Resuscitation Program,Skill,Set up a neonatal mechanical ventilator.,Neonatal Resuscitation Program,"ventilator, Neonatal Resuscitation Program"
Network Access Control,Skill,Identify the methods for securing a network via Network Access Control.,Network Access Control,"Network Security, Network Access Control, securing network"
Network Engineering,Skill,Identifies different types of networks and topologies.,Network Engineering,Cybersecurity
Network Forensics,Skill,Monitor computer network traffic to detect intrusions or gather legal evidence or other information.,Network Forensics,"Kali Linux, Network Forensics, Digital Forensics: The Big Picture"
Network Management,Skill,"Analyze network performance, availability, and security.",Network Management,"Routers, Switches, gateways, firewalls, proxies, Network Management"
Network Planning And Design,Skill,Specify hybrid (on-premises and cloud) data architecture network requirements.,Network Planning And Design,Network Planning And Design
Network Routing,Skill,Identify network protocols for network routers.,Network Routing,Network Routing
Network Security,Skill,Identify system weaknesses.,Network Security,Network Security
Network Troubleshooting,Skill,Resolve network security vulnerabilities and breaches.,Network Troubleshooting,"Routers, Switches, gateways, firewalls, proxies, Network Troubleshooting"
Networking Basics,Skill,"Apply basic telecommunications, wireless, and internet resources in a limited business networking context.",Networking Basics,Networking Basics
Networking Hardware,Skill,Configure physical firewalls.,Networking Hardware,Networking Hardware
New Product Development,Skill,Identify the optimal approach to introduce a new product into the marketplace.,New Product Development,"SAP, Tableau, MicroStrategy, Enterprise Resource Planning software, Microsoft Dynamics, Oracle E-Business Suite, Oracle JD Edwards EnterpriseOne, Project Management software, Microsoft Project, Atlassian JIRA, Confluence, Oracle Primavera Enterprise Project Portfolio Management, Business Intelligence and Data Analysis software IBM Cognos Impromptu, Qlick Tech QlickView, New Product Development, Product Development"
Node.js,Skill,Develop software tooling using Node.js.,Node.js,"Node.js, Webpack, grunt, Gulp, eslint, jslint"
Non-Verbal Communication,Skill,Model respectful nonverbal interactions.,Non-Verbal Communication,"InTASC, Non-Verbal Communications, Healthy Learning Strategies, TC Disposition 6"
Novel And Adaptive Thinking,Skill,Generate appropriate questions to provide decision-making information.,Novel And Adaptive Thinking,"21st Century Skills, Thinking, Critical Thinking, GE Framework, Problem Solving, Decision Making, Innovation, Troubleshooting (Problem Solving), Curiosity, Creativity, Novel And Adaptive Thinking"
Nurse Education,Skill,Provide theoretical and practical teaching to prepare nurses for professional nursing duties.,Nurse Education,Nurse Education
Nursing Care,Skill,Provide holistic nursing care to address patient needs.,Nursing Care,nursing care
Object-Oriented Programming (OOP),Skill,Develop object-oriented programming (OOP) solutions.,Object-Oriented Programming (OOP),"OOP, Inheritance, Object-Oriented Design"
Occupational Safety And Health Administration (OSHA),Skill,Implement changes in Occupational Safety and Health Administration (OSHA) laws.,Occupational Safety And Health Administration (OSHA),"Implementation, OSHA, Occupational Safety and Health Administration (OSHA), Occupational Safety and Health Administration, 5159.22"
Occupational Safety and Health,Skill,Comply with Occupational Safety and Health Administration (OSHA) safety and health practices.,Occupational Safety and Health,"practices, health, Occupational Safety and Health, occupational safety"
Office Management,Skill,Manage relationships between an organization and vendors that support the organization's operations.,Office Management,"Operations, Management, Microsoft Excel, Microsoft Word, Google Docs, Google Sheets, Office Management"
Office Suite,Skill,Populate spreadsheets with appropriate information.,Office Suite,"Data Entry, Office Suite, patient profile, health records, notes"
Onboarding,Skill,"Evaluate training to ensure it is current and effective, and makes changes accordingly.",Onboarding,Onboarding
Online Advertising,Skill,Establish goals for different types of websites.,Online Advertising,"goals, Advertising, Online Advertising"
Online Communication,Skill,Use virtual tools to facilitate communication.,Online Communication,"Online Communication, Influencer, Transferrable Skills Across Occupations"
Online Teaching,Skill,Facilitate learner-to-learner interaction in online learning environments.,Online Teaching,
Open Mindset,Skill,Participate in constructive conversations despite disagreements in thinking.,Open Mindset,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Open Mindset"
Operating Budget,Skill,Establish an operating budget to meet patient and healthcare organization needs.,Operating Budget,Operating Budget
Operating Systems,Skill,Modify systems settings to improve performance and reliability of an operating system.,Operating Systems,Operating Systems
Operational Risk,Skill,Prepare operational and risk reports for management analysis.,Operational Risk,"Risk Reporting, Operational Risk"
Operations,Skill,Prioritize workflow tasks based on operational pharmacy hours.,Operations,"Operations, pharmacy"
Operations Management,Skill,Develop personnel work schedules that provide adequate coverage for all production departments.,Operations Management,"SAP, MS Office, Oracle Peoplesoft, Operations Management"
Ophthalmology,Skill,Investigate systemic etiology when diagnosing ocular pathology.,Ophthalmology,Ophthalmology
Optics,Skill,Predict the potential outcome from a manipulation of light based on equation calculations.,Optics,"Microsoft Excel, Google Sheets, MATLAB, Optics"
Optimism,Skill,"Behave with an action-oriented strength involving agency, motivation, and confidence to achieve goals.",Optimism,"Character, 21st Century Skills, Positive Mental Attitude, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self-Awareness, Optimism, Hope, Future-Minded"
Optometry,Skill,Determine visual acuity and refractive error.,Optometry,"Optometry, Acuity chart, autorefractor"
Oral Hygiene,Skill,Teach patients the proper care of teeth and the oral cavity.,Oral Hygiene,Oral Hygiene
Ordinances,Skill,Explain local and municipal ordinance enforcement.,Ordinances,Ordinances
Organization Development,Skill,Redesign organizational structures to increase both productivity and accountability.,Organization Development,"Organization Development, Organization Development (OD)"
Organizational Awareness,Skill,Establish a training process for an executive team.,Organizational Awareness,"Coordination, Organizational Awareness, Executive team training, leadership process, cultivation"
Organizational Communications,Skill,Identify the different types of communication within organizations.,Organizational Communications,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Organizational Communications"
Organizational Effectiveness and Development,Skill,"Ensure key documents and systems (e.g., job postings and descriptions, performance management systems) accurately reflect workforce activities.",Organizational Effectiveness and Development,"Organizational Effectiveness, Performance Management, Human Resources, HR, SHRM, organization, Organizational Effectiveness and Development, Organizational Effectiveness & Development, Organizational Development"
Organizational Ethics,Skill,"Demonstrate the values, standards, rules, principles, and strategies associated with an organization.",Organizational Ethics,"Being, Professional Ethics, Organizational Ethics"
Organizational Leadership,Skill,Motivate a team.,Organizational Leadership,"Leadership, Teamwork, Team Leadership, High Motivation, Organizational Leadership, Motivation"
Organizational Learning,Skill,"Keep individuals updated on changes in the organization's products, services, and procedures.",Organizational Learning,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Organizational Learning"
Organizational Skills,Skill,Work well under pressure.,Organizational Skills,"Organizational Skills, Influencer, Transferrable Skills Across Occupations, Professional Development and Career Management, Change Manager"
Organizational Strategy,Skill,Modify an organizational strategy as needed.,Organizational Strategy,"Organizational Strategy, Transferrable Skills Across Occupations, Transferrable Skills for Leaders"
Organizational Structure,Skill,Recognize common organizational structures and their strengths and limitations.,Organizational Structure,"BCore, BizEssen, Organizational Structure"
Orthodontics,Skill,Create records about the teeth and jaw of a patient for orthodontic treatment.,Orthodontics,Orthodontics
Outsourcing,Skill,Recommend vendors to perform outsourced tasks.,Outsourcing,Outsourcing
Oxygen Therapy,Skill,Assess a patient's need for oxygen therapy.,Oxygen Therapy,"patient, Oxygen, respiratory therapist, Therapy, Oxygen Therapy"
PL/SQL,Skill,Apply partitioned views for query optimization.,PL/SQL,"Partitions, partitioning strategies, views, partitioned views"
Packaging And Labeling,Skill,Comply with state agency regulations for packaging.,Packaging And Labeling,"Compliance, regulations, Packaging And Labeling, Packaging"
Palliative Care,Skill,Adjust a treatment plan to maximize the comfort of a patient who has a life-limiting illness.,Palliative Care,Palliative Care
Parallel Computing,Skill,Identify source code that could allow thread locking to occur.,Parallel Computing,"BSCS201809, BSITSW201901, BSITSWC201901, Hadoop, Parallel Computing, MPI"
Password Management,Skill,Enroll web applications and tools in password management tool.,Password Management,"The Issues of Identity and Access Management (IAM), Password Management, LastPass"
Patch Management,Skill,Schedule patch installations as necessary to maintain compliance.,Patch Management,"Vulnerability Management: The Big Picture, Patch Management, Microsoft System Center Configuration Manager, AirWatch"
Pathology,Skill,Administer a toxicology screening.,Pathology,"Medical Assistant, Pathology"
Patience,Skill,Determine the amount of time needed for students with exceptionalities to complete tasks.,Patience,"Patience, student with exceptionalities"
Patient Advocacy,Skill,Advocate for a patient to receive veterans' benefits.,Patient Advocacy,"Patient Advocacy, Health Open Skills"
Patient Assessment,Skill,Evaluate a patient's vital signs.,Patient Assessment,"Clinical Practices, patient assessment"
Patient Benefits,Skill,Educate others on the necessity of prior authorizations and how to obtain approval.,Patient Benefits,"Patient Benefits, Explaining Patient Benefits"
Patient Safety,Skill,Teach employees about patient safety policies and procedures.,Patient Safety,"patient education, patient safety"
Patient Transfer,Skill,Communicate the purpose of a transfer with a patient.,Patient Transfer,"Patient Transfer, Health Open Skills"
Patient/Family Education,Skill,Review treatment plans to encourage self-advocacy.,Patient/Family Education,"Patient/Family Education, Patient/Family Education and Instruction"
Patrolling,Skill,Identify hot spots for directed patrol.,Patrolling,Patrolling
Payment Card Industry (PCI) Data Security Standard (DSS),Skill,"Describe the key elements in a secure software development lifecycle for software intended to store, process, or transmit cardholder data.",Payment Card Industry (PCI) Data Security Standard (DSS),"Payment Card Industry (PCI) Data Security Standard (DSS), PCI DSS: The Big Picture"
Payroll Processing,Skill,Support the implementation of payroll processing software (such as Oracle R12) within the payroll department.,Payroll Processing,"Payroll Processing, Oracle R12"
Pedagogy,Skill,Identify strategies for systematic literacy instruction.,Pedagogy,"Literacy Instruction, Science of Reading, Reading Instruction"
Pediatric Advanced Life Support,Skill,Perform endotracheal intubation of a pediatric patient.,Pediatric Advanced Life Support,"breathing, Airway, endotracheal, Pediatric Advanced Life Support, ET, Tube, Artificial"
Pediatric Intensive Care Unit,Skill,Perform initiation of high flow for a pediatric patient.,Pediatric Intensive Care Unit,"ventilation, Pediatric Intensive Care Unit, PICU"
Pediatrics,Skill,Teach a pediatric patient on the benefits of proper nutrition.,Pediatrics,"Medical Assistant, Pediatrics"
Penetration Testing,Skill,Analyze vulnerabilities of the target to determine critical weaknesses and flaws in systems and applications.,Penetration Testing,"Kali Linux, Penetration Testing, Missing Cybersecurity, Ethical Hacking (CEH Prep 2018), Nmap, Dradis"
People Management,Skill,"Develop work processes to improve the efficiencies of direct work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",People Management,"People Management, Personnel Management"
Performance Appraisal,Skill,Provide objective feedback about performance to each employee.,Performance Appraisal,"Performance Appraisal, WinTOTAL, Construction Management Software ProEst, MicroSolve CAMA, WinEstimator WinEst"
Performance Management,Skill,Transform systems for work performance and employee engagement.,Performance Management,Performance Management
Performance Tuning,Skill,"Make additional modifications, if needed, following the performance measurement of a modified system.",Performance Tuning,"Performance Monitoring Software, Performance Tuning"
Periodontology,Skill,Teach patients the correlation between periodontal health and systemic health.,Periodontology,Periodontology
Perseverance,Skill,Take responsibility for tasks and actions in a difficult situation.,Perseverance,"Character, 21st Century Skills, Educational Leadership, Persistence, Determination, Perseverance, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self Management, Diligence, Grit, Tenacity, Stick-to-itiveness, Reliance, Conviction, NGT"
Personal Computers,Skill,Manage the installation and performance of minor repairs to software on personal computers.,Personal Computers,Personal Computers
Personal Information Protection And Electronic Documents Act,Skill,Obtain relevant consent for use and disclosure of personal information.,Personal Information Protection And Electronic Documents Act,Personal Information Protection And Electronic Documents Act
Personal Integrity,Skill,Treat others equitability.,Personal Integrity,"Personal Integrity, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
Personal Protective Equipment,Skill,Change personal protective equipment between each patient interaction as needed.,Personal Protective Equipment,Personal Protective Equipment
Perspective Taking,Skill,Demonstrate the ability to value the opinions of others.,Perspective Taking,"Cognitive Flexibility, Perspective Taking, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Social Awareness, Canvassing"
Persuasion,Skill,Work with management to convince others to accept a new approach.,Persuasion,"Persuasive Communication, Persuasion"
Persuasive Communication,Skill,Use various persuasive strategies to communicate with different audiences.,Persuasive Communication,"Persuasive Communication, Influencer, Transferrable Skills Across Occupations, Professional Development and Career Management"
Pharmaceuticals,Skill,"Identify the side effects, interactions, and reactions of pharmaceutical products.",Pharmaceuticals,"Medical Assistant, Pharmaceuticals"
Pharmacology,Skill,"Identify how drugs, chemicals and other substances to discover their effect on the biological system.",Pharmacology,Pharmacology
Phishing,Skill,Send communications to a target organization.,Phishing,"Phishing, Security Awareness: Phishing - How Hackers Get Your Secrets"
Phlebotomy,Skill,Teach a patient about the venipuncture process.,Phlebotomy,"Medical Assistant, Phlebotomy, OSHA requirements for phlebotomy"
Physical Fitness,Skill,Maintain the amount of rest needed to defend against fatigue or injury.,Physical Fitness,Physical Fitness
Physical Restraint,Skill,Monitor individuals in total body restraints according to departmental policy.,Physical Restraint,Physical Restraint
Physical Science,Skill,Apply scientific methods to problem solving.,Physical Science,Physical Science
Physical Security,Skill,Teach building owners about physical security measures to protect their properties from criminal activity.,Physical Security,Physical Security
Physiology,Skill,Record differences between normal and abnormal anatomical structures.,Physiology,"Medical Assistant, Physiology"
Planning,Skill,Utilize scheduling tools to determine the timeline for project completion.,Planning,"Planning, Systems Engineer"
Platform as a Service (PaaS),Skill,Assess business needs and security requirements for Platform-as-a-Service deployments and design appropriate security protocols to minimize risk and achieve necessary levels of compliance.,Platform as a Service (PaaS),"Cloud Computing and the Security Challenge, Platform as a Service (PaaS), Platform as a Service (PaaS) Security"
Point of Sale,Skill,Troubleshoot point of sale system issues.,Point of Sale,"Retail Sales Associate, Point of Sale"
Point-of-Care Testing,Skill,Instruct a patient how to collect a clean-catch midstream urine specimen.,Point-of-Care Testing,"Medical Assistant, Point-of-Care Testing"
Police Reporting,Skill,Articulate probable cause in police reports.,Police Reporting,Police Reporting
Police Science,Skill,Interpret police science research.,Police Science,Police Science
Policy Development,Skill,Create data access and privacy policies for an organization.,Policy Development,"data, privacy, Policy Development, Data Acces, Privacy Policies"
Policy Evaluation,Skill,Determine whether an institutional policy needs improvement.,Policy Evaluation,"Policy Analysis, policy, Policy Evaluation, Policy Assessment"
Policy Research And Analysis,Skill,"Study the socioeconomic impact of public policies, such as proposed legislation, taxes, services, and regulations.",Policy Research And Analysis,"Policy Research And Analysis, Policy Analysis"
Political Sciences,Skill,Incorporate new legislation into law enforcement practices.,Political Sciences,Political Sciences
Pollution Prevention,Skill,Reduce the use of water and chemicals in agricultural applications.,Pollution Prevention,Pollution Prevention
Population Health,Skill,"Distinguish between a population's health status, quality of life, and system or program gaps.",Population Health,Population Health
Portfolio Management,Skill,Manage investment portfolios for clients.,Portfolio Management,"Management, Portfolio Management, IBM SPSS Statistics Hot technology, Insightful S-PLUS, SAS Hot technology, The MathWorks MATLAB, Investments"
